1	100	0.015
1	1000	0.024
1	10000	0.086
1	100000	0.414
1	1000000	3.950
1	10000000	64.633
2	100	0.012
2	1000	0.025
2	10000	0.087
2	100000	0.376
2	1000000	2.939
2	10000000	48.505
3	100	0.016
3	1000	0.033
3	10000	0.105
3	100000	0.474
3	1000000	2.652
3	10000000	66.502
4	100	0.018
4	1000	0.034
4	10000	0.137
4	100000	0.539
4	1000000	2.837
4	10000000	68.632
6	100	0.025
6	1000	0.036
6	10000	0.131
6	100000	0.512
6	1000000	2.659
6	10000000	35.361
8	100	0.025
8	1000	0.041
8	10000	0.146
8	100000	0.574
8	1000000	2.245
8	10000000	32.137
12	100	0.048
12	1000	0.073
12	10000	0.131
12	100000	0.651
12	1000000	2.348
12	10000000	75.710
16	100	0.062
16	1000	0.106
16	10000	0.292
16	100000	0.776
16	1000000	3.297
16	10000000	31.015
24	100	0.084
24	1000	0.161
24	10000	0.346
24	100000	1.028
24	1000000	3.515
24	10000000	31.926
32	100	0.110
32	1000	0.205
32	10000	0.445
32	100000	1.369
32	1000000	4.408
32	10000000	33.209
48	100	0.156
48	1000	0.287
48	10000	0.631
48	100000	1.781
48	1000000	4.929
48	10000000	34.660
1	100	0.013
1	1000	0.025
1	10000	0.088
1	100000	0.394
1	1000000	4.064
1	10000000	70.127
2	100	0.012
2	1000	0.032
2	10000	0.091
2	100000	0.549
2	1000000	3.211
2	10000000	54.413
3	100	0.016
3	1000	0.028
3	10000	0.135
3	100000	0.432
3	1000000	2.638
3	10000000	42.740
4	100	0.016
4	1000	0.033
4	10000	0.138
4	100000	0.517
4	1000000	2.436
4	10000000	38.067
6	100	0.023
6	1000	0.036
6	10000	0.138
6	100000	0.503
6	1000000	2.326
6	10000000	67.674
8	100	0.035
8	1000	0.049
8	10000	0.135
8	100000	0.538
8	1000000	2.341
8	10000000	64.063
12	100	0.037
12	1000	0.078
12	10000	0.216
12	100000	0.708
12	1000000	2.313
12	10000000	32.984
16	100	0.057
16	1000	0.111
16	10000	0.240
16	100000	0.817
16	1000000	2.738
16	10000000	31.173
24	100	0.091
24	1000	0.155
24	10000	0.343
24	100000	1.045
24	1000000	3.588
24	10000000	34.464
32	100	0.097
32	1000	0.202
32	10000	0.447
32	100000	1.364
32	1000000	4.750
32	10000000	31.572
48	100	0.178
48	1000	0.299
48	10000	0.595
48	100000	1.534
48	1000000	5.320
48	10000000	69.041
